가	g a
곰팡이	g o M p a NG i
곱	g o P
곱창	g o P ch a NG
곱하	g o p a
곱해	g o p e
곳	g o T
곳곳	g o T kk o T
공	g o NG
공간	g o NG g a N
공갈	g o NG g a L
공감	g o NG g a M
공감대	g o NG g a M d e
공개	g o NG g e
공개경쟁	g o NG g e g y eo NG j e NG
공개서한	g o NG g e s eo h a N
공격	g o NG g y eo K
공경	g o NG g y eo NG
공고	g o NG g o
공공	g o NG g o NG
공공시설	g o NG g o NG s i s eo L
공공연	g o NG g o NG n y eo N
공공연히	g o NG g o NG n y eo N h i
공과	g o NG g w a
공과금	g o NG g w a g eu M
공관	g o NG g w a N
공교	g o NG g y o
공구	g o NG g u
공군	g o NG g u N
공군기지	g o NG g u N g i j i
공군력	g o NG g u L r y eo K
공권력	g o NG g w eo L r y eo K
공급	g o NG g eu P
공급원	g o NG g eu b w eo N
공급자	g o NG g eu P jj a
공기	g o NG g i
공기업	g o NG g i eo P
공기총	g o NG g i ch o NG
공단	g o NG d a N
공대	g o NG d e
공동	g o NG d o NG
공동구	g o NG d o NG g u
공동묘지	g o NG d o NG m y o j i
공동선	g o NG d o NG s eo N
공동체	g o NG d o NG ch e
공략	g o NG n y a K
공론	g o NG n o N
공론화	g o NG n o N h w a
공룡	g o NG n y o NG
공매도	g o NG m e d o
공명선거	g o NG m y eo NG s eo N g eo
공모	g o NG m o
공모자	g o NG m o j a
공무원	g o NG m u w eo N
공문	g o NG m u N
공방	g o NG b a NG
공백	g o NG b e K
공범	g o NG b eo M
공법	g o NG b eo P
공보	g o NG b o
공보처	g o NG b o ch eo
공복	g o NG b o K
공부	g o NG b u
공분	g o NG b u N
공사	g o NG s a
공사장	g o NG s a j a NG
공산	g o NG s a N
공산당	g o NG s a N d a NG
공산주의	g o NG s a N j u eu i
공산주의자	g o NG s a N j u eu i j a
공생	g o NG s e NG
공성	g o NG s eo NG
공세	g o NG s e
공소	g o NG s o
공소시효	g o NG s o s i h y o
공손	g o NG s o N
공수부대	g o NG s u b u d e
공수사	g o NG s u s a
공습	g o NG s eu P
공시	g o NG s i
공식	g o NG s i K
공신력	g o NG s i L r y eo K
공안	g o NG a N
공약	g o NG n y a K
공언	g o NG eo N
공업	g o NG eo P
공업용수	g o NG eo M n y o NG s u
공여	g o NG n y eo
공연	g o NG n y eo N
공연장	g o NG n y eo N j a NG
공영	g o NG n y eo NG
공원	g o NG w eo N
공유	g o NG n y u
공의	g o NG eu i
공익	g o NG i K
공익사업	g o NG i K ss a eo P
공인	g o NG i N
공인회계사	g o NG i N h w e g y e s a
공임	g o NG i M
공자	g o NG j a
공작	g o NG j a K
공장	g o NG j a NG
공전	g o NG j eo N
공정	g o NG j eo NG
공정거래위	g o NG j eo NG g eo r e w i
공정위	g o NG j eo NG w i
공제	g o NG j e
공조	g o NG j o
공족	g o NG j o K
공존	g o NG j o N
공존공영	g o NG j o N g o NG n y eo NG
공주	g o NG j u
공중	g o NG j u NG
공중부양	g o NG j u NG b u y a NG
공중분해	g o NG j u NG b u N h e
공지	g o NG j i
공직	g o NG j i K
공직자	g o NG j i K jj a
공짜	g o NG jj a
공창	g o NG ch a NG
공채	g o NG ch e
공책	g o NG ch e K
공천	g o NG ch eo N
공청회	g o NG ch eo NG h w e
공터	g o NG t eo
공통	g o NG t o NG
공통점	g o NG t o NG j eo M
공판	g o NG p a N
공평	g o NG p y eo NG
공포	g o NG p o
공포심	g o NG p o s i M
공포증	g o NG p o j eu NG
공표	g o NG p y o
공표죄	g o NG p y o j w e
공학	g o NG h a K
공항	g o NG h a NG
공해	g o NG h e
공허	g o NG h eo
공헌	g o NG h eo N
공화	g o NG h w a
공화국	g o NG h w a g u K
공황	g o NG h w a NG
공휴일	g o NG h y u i L
곶	g o T
과	g w a
과감	g w a g a M
과감히	g w a g a M h i
과거	g w a g eo
과거사	g w a g eo s a
과격	g w a g y eo K
과격파	g w a g y eo K p a
과다	g w a d a
과당	g w a d a NG
과대	g w a d e
과도	g w a d o
과도기	g w a d o g i
과목	g w a m o K
과민	g w a m i N
과반	g w a b a N
과반수	g w a b a N s u
과세	g w a s e
과소비	g w a s o b i
과수원	g w a s u w eo N
과시	g w a s i
과식	g w a s i K
과실	g w a s i L
과언	g w a eo N
과연	g w a y eo N
과열	g w a y eo L
과외	g w a w e
과일	g w a i L
과일나무	g w a i L r a m u
과잉	g w a i NG
과자	g w a j a
과장	g w a j a NG
과정	g w a j eo NG
과제	g w a j e
과태료	g w a t e r y o
과하	g w a h a
과학	g w a h a K
과학고	g w a h a K kk o
과학관	g w a h a K kk w a N
과학부	g w a h a K pp u
과학자	g w a h a K jj a
곽	g w a K
관	g w a N
관개	g w a N g e
관객	g w a N g e K
관건	g w a N g eo N
관격	g w a N g y eo K
관계	g w a N g y e
관계없이	g w a N g y e eo P ss i
관계자	g w a N g y e j a
관공서	g w a N g o NG s eo
관광	g w a N g w a NG
관광객	g w a N g w a NG g e K
관광지	g w a N g w a NG j i
관권	g w a N g w eo N
관념	g w a N n y eo M
관대	g w a N d e
관동	g w a N d o NG
관람	g w a L r a M
관람객	g w a L r a M g e K
관련	g w a L r y eo N
관련자	g w a L r y eo N j a
관례	g w a L r y e
관록	g w a L r o K
관료	g w a L r y o
관료주의	g w a L r y o j u eu i
관리	g w a L r i
관리법	g w a L r i b eo P
관리인	g w a L r i i N
관리자	g w a L r i j a
관리직	g w a L r i j i K
관망	g w a N m a NG
관문	g w a N m u N
관변	g w a N b y eo N
관보	g w a N b o
관사	g w a N s a
관상	g w a N s a NG
관세	g w a N s e
관세청	g w a N s e ch eo NG
관습	g w a N s eu P
관심	g w a N s i M
관심사	g w a N s i M s a
관악구	g w a n a K kk u
관여	g w a N n y eo
관영	g w a N n y eo NG
관용	g w a N n y o NG
관위	g w a n w i
관장	g w a N j a NG
관저	g w a N j eo
관점	g w a N j eo M
관제	g w a N j e
관제탑	g w a N j e t a P
관중	g w a N j u NG
관찰	g w a N ch a L
관찰자	g w a N ch a L j a
관철	g w a N ch eo L
관청	g w a N ch eo NG
관측	g w a N ch eu K
관하	g w a N h a
관한	g w a N h a N
관할	g w a N h a L
관해	g w a N h e
관해서	g w a N h e s eo
관행	g w a N h e NG
괌	g w a M
광	g w a NG
광경	g w a NG g y eo NG
광고	g w a NG g o
광교	g w a NG g y o
광구	g w a NG g u
광대	g w a NG d e
광대뼈	g w a NG d e pp y eo
광둥	g w a NG d u NG
광명	g w a NG m y eo NG
광물	g w a NG m u L
광범	g w a NG b eo M
광범위	g w a NG b eo m w i
광복	g w a NG b o K
광복절	g w a NG b o K jj eo L
광부	g w a NG b u
광산	g w a NG s a N
광양시	g w a NG n y a NG s i
광역	g w a NG n y eo K
광역권	g w a NG n y eo K kk w eo N
광역시	g w a NG n y eo K ss i
광역자치단체	g w a NG n y eo K jj a ch i d a N ch e
광열	g w a NG n y eo L
광우병	g w a NG u b y eo NG
광장	g w a NG j a NG
광주	g w a NG j u
광주시	g w a NG j u s i
광주시장	g w a NG j u s i j a NG
광진구	g w a NG j i N g u
광채	g w a NG ch e
광해군	g w a NG h e g u N
광현	g w a NG h y eo N
광화문	g w a NG h w a m u N
광활	g w a NG h w a L
괘씸	g w e ss i M
괘씸죄	g w e ss i M j w e
괜찮	g w e N ch a N
괜히	g w e N h i
괴	g w e
괴담	g w e d a M
괴로우	g w e r o u
괴로운	g w e r o u N
괴로움	g w e r o u M
괴롭	g w e r o P
괴롭히	g w e r o p i
괴롭힘	g w e r o p i M
괴뢰	g w e r w e
괴리	g w e r i
괴문서	g w e m u N s eo
괴산	g w e s a N
괴상	g w e s a NG
굉장	g w e NG j a NG
굉장히	g w e NG j a NG h i
교	g y o
교가	g y o g a
교각	g y o g a K
교과목	g y o g w a m o K
교과서	g y o g w a s eo
교관	g y o g w a N
교구	g y o g u
교내	g y o n e
교단	g y o d a N
교대	g y o d e
교도	g y o d o
교도관	g y o d o g w a N
교도소	g y o d o s o
교두보	g y o d u b o
교란	g y o r a N
교류	g y o r y u
교리	g y o r i
교만	g y o m a N
교묘	g y o m y o
교문	g y o m u N
교민	g y o m i N
교보	g y o b o
교복	g y o b o K
교분	g y o b u N
교사	g y o s a
교생	g y o s e NG
교섭	g y o s eo P
교수	g y o s u
교습	g y o s eu P
교시	g y o s i
교신	g y o s i N
교실	g y o s i L
교양	g y o y a NG
교역	g y o y eo K
교외	g y o w e
교원	g y o w eo N
교위	g y o w i
교육	g y o y u K
교육감	g y o y u K kk a M
교육령	g y o y u NG n y eo NG
교육부	g y o y u K pp u
교육자	g y o y u K jj a
교육청	g y o y u K ch eo NG
교육학	g y o y u k a K
교인	g y o i N
교장	g y o j a NG
교재	g y o j e
교전	g y o j eo N
교정	g y o j eo NG
교제	g y o j e
교조	g y o j o
교주	g y o j u
교직	g y o j i K
교직원	g y o j i g w eo N
교차로	g y o ch a r o
교착	g y o ch a K
교체	g y o ch e
교토	g y o t o
교통	g y o t o NG
교통량	g y o t o NG n y a NG
교통부	g y o t o NG b u
교통사고	g y o t o NG s a g o
교통정리	g y o t o NG j eo NG n i
교통카드	g y o t o NG k a d eu
교포	g y o p o
교화	g y o h w a
교환	g y o h w a N
교황	g y o h w a NG
교황청	g y o h w a NG ch eo NG
교회	g y o h w e
교회당	g y o h w e d a NG
교훈	g y o h u N
구	g u
구간	g u g a N
구강	g u g a NG
구개	g u g e
구경	g u g y eo NG
구교	g u g y o
구교도	g u g y o d o
구구단	g u g u d a N
구국	g u g u K
구글	g u g eu L
구급대	g u g eu P tt e
구급차	g u g eu P ch a
구기	g u g i
구기동	g u g i d o NG
구나	g u n a
구난	g u n a N
구단	g u d a N
구단주	g u d a N j u
구당	g u d a NG
구덩이	g u d eo NG i
구도	g u d o
구도심	g u d o s i M
구독	g u d o K
구독자	g u d o K jj a
구동	g u d o NG
구두	g u d u
구라	g u r a
구랍	g u r a P
구로구	g u r o g u
구름	g u r eu M
구리	g u r i
구린	g u r i N
구만	g u m a N
구매	g u m e
구매력	g u m e r y eo K
구매자	g u m e j a
구멍	g u m eo NG
구멘	g u m e N
구명	g u m y eo NG
구미	g u m i
구민	g u m i N
구별	g u b y eo L
구본영	g u b o N n y eo NG
구부리	g u b u r i
구분	g u b u N
구비	g u b i
구사	g u s a
구상	g u s a NG
구상도	g u s a NG d o
구석	g u s eo K
구석구석	g u s eo K kk u s eo K
구석기	g u s eo K kk i
구성	g u s eo NG
구성원	g u s eo NG w eo N
구세군	g u s e g u N
구소련	g u s o r y eo N
구속	g u s o K
구속영장	g u s o g y eo NG j a NG
구술	g u s u L
구슬	g u s eu L
구시대	g u s i d e
구실	g u s i L
구심	g u s i M
구심점	g u s i M j eo M
구여	g u y eo
구역	g u y eo K
구요	g u y o
구원	g u w eo N
구월	g u w eo L
구의역	g u eu i y eo K
구인	g u i N
구임	g u i M
구입	g u i P
구장	g u j a NG
구점	g u j eo M
구정	g u j eo NG
구제	g u j e
구조	g u j o
구조물	g u j o m u L
구직자	g u j i K jj a
구찌	g u jj i
구천	g u ch eo N
구청	g u ch eo NG
구청장	g u ch eo NG j a NG
구체	g u ch e
구체안	g u ch e a N
구축	g u ch u K
구축함	g u ch u k a M
구충제	g u ch u NG j e
구치감	g u ch i g a M
구치소	g u ch i s o
구타	g u t a
구토	g u t o
구하	g u h a
구한	g u h a N
구한다면	g u h a N d a m y eo N
구할	g u h a L
구함	g u h a M
구합니다	g u h a M n i d a
구해	g u h e
구해서	g u h e s eo
구해야	g u h e y a
구했	g u h e T
구현	g u h y eo N
구형	g u h y eo NG
구형량	g u h y eo NG n y a NG
구호	g u h o
구호품	g u h o p u M
국	g u K
국가	g u K kk a
국감	g u K kk a M
국경	g u K kk y eo NG
국공	g u K kk o NG
국군	g u K kk u N
국기	g u K kk i
국난	g u NG n a N
국내	g u NG n e
국내법	g u NG n e b eo P
국내외	g u NG n e w e
국당	g u K tt a NG
국력	g u NG n y eo K
국립	g u NG n i P
국마	g u NG m a
국면	g u NG m y eo N
국명	g u NG m y eo NG
국무	g u NG m u
국무부	g u NG m u b u
국무원	g u NG m u w eo N
국무총리	g u NG m u ch o NG n i
국문학	g u NG m u N h a K
국물	g u NG m u L
국민	g u NG m i N
국민당	g u NG m i N d a NG
국민운동	g u NG m i n u N tt o NG
국민정당	g u NG m i N j eo NG d a NG
국민카드	g u NG m i N k a d eu
국민학교	g u NG m i N h a K kk y o
국민학생	g u NG m i N h a K ss e NG
국민회	g u NG m i N h w e
국민회의	g u NG m i N h w e eu i
국방	g u K pp a NG
국방부	g u K pp a NG b u
국방비	g u K pp a NG b i
국방위	g u K pp a NG w i
국부	g u K pp u
국사	g u K ss a
국사학	g u K ss a h a K
국산	g u K ss a N
국세청	g u K ss e ch eo NG
국수	g u K ss u
국악	g u g a K
국어	g u g eo
국영	g u g y eo NG
국영석	g u g y eo NG s eo K
국왕	g u g w a NG
국익	g u g i K
국장	g u K jj a NG
국적	g u K jj eo K
국정	g u K jj eo NG
국정원	g u K jj eo NG w eo N
국제	g u K jj e
국제공항	g u K jj e g o NG h a NG
국제기구	g u K jj e g i g u
국제노동기구	g u K jj e n o d o NG g i g u
국제법	g u K jj e b eo P
국제선	g u K jj e s eo N
국지	g u K jj i
국채	g u K ch e
국책	g u K ch e K
국토	g u K t o
국판	g u K p a N
국한	g u k a N
국해	g u k e
국회	g u k w e
국회법	g u k w e b eo P
국회의원	g u k w e eu i w eo N
군	g u N
군것질	g u N g eo T jj i L
군고	g u N g o
군구	g u N g u
군국주의	g u N g u K jj u eu i
군내	g u N n e
군단	g u N d a N
군대	g u N d e
군데	g u N d e
군량미	g u L r y a NG m i
군민	g u N m i N
군복	g u N b o K
군부	g u N b u
군부대	g u N b u d e
군비	g u N b i
군사	g u N s a
군사력	g u N s a r y eo K
군사령관	g u N s a r y eo NG g w a N
군사분계선	g u N s a b u N g y e s eo N
군속	g u N ss o K
군수	g u N s u
군심	g u N s i M
군요	g u N n y o
군인	g u n i N
군정	g u N j eo NG
군주	g u N j u
군중	g u N j u NG
군청	g u N ch eo NG
군포	g u N p o
군포시	g u N p o s i
군함	g u N h a M
굳	g u T
굳어지	g u d eo j i
굳이	g u j i
굳히	g u ch i
굳힌	g u ch i N
굴	g u L
굴곡	g u L g o K
굴러	g u L r eo
굴러가	g u L r eo g a
굴려	g u L r y eo
굴복	g u L b o K
굴욕	g u L r y o K
굴지	g u L j i
굵	g u K
굵기	g u L kk i
굵직	g u K jj i K
굶	g u M
굶주림	g u M jj u r i M
굽	g u P
굽혀	g u p y eo
굽히	g u p i
굿	g u T
굿모닝	g u N m o n i NG
굿윈	g u s w i N
궁	g u NG
궁극	g u NG g eu K
궁금	g u NG g eu M
궁금증	g u NG g eu M j eu NG
궁리	g u NG n i
궁색	g u NG s e K
궁정	g u NG j eo NG
궁핍	g u NG p i P
궈	g w eo
권	g w eo N
권고	g w eo N g o
권내현	g w eo N n e h y eo N
권노갑	g w eo N n o g a P
권단	g w eo N d a N
권력	g w eo L r y eo K
권력자	g w eo L r y eo K jj a
권리	g w eo L r i
권모	g w eo N m o
권위	g w eo n w i
권위주의	g w eo n w i j u eu i
권유	g w eo N n y u
권익	g w eo n i K
권장	g w eo N j a NG
권주	g w eo N j u
권총	g w eo N ch o NG
권투	g w eo N t u
권하	g w eo N h a
권한	g w eo N h a N
권합니다	g w eo N h a M n i d a
권했	g w eo N h e T
궤도	g w e d o
귀	g w i
귀가	g w i g a
귀감	g w i g a M
귀걸이	g w i g eo r i
귀결	g w i g y eo L
귀국	g w i g u K
귀농	g w i n o NG
귀띔	g w i tt eu i M
귀속	g w i s o K
귀신	g w i s i N
귀여니	g w i y eo n i
귀여운	g w i y eo u N
귀여움	g w i y eo u M
귀여워	g w i y eo w eo
귀여워서	g w i y eo w eo s eo
귀엽	g w i y eo P
귀요미	g w i y o m i
귀재	g w i j e
귀족	g w i j o K
귀중	g w i j u NG
귀중품	g w i j u NG p u M
귀찮	g w i ch a N
귀하	g w i h a
귀한	g w i h a N
귀환	g w i h w a N
귓가	g w i T kk a
규	g y u
규격	g y u g y eo K
규명	g y u m y eo NG
규모	g y u m o
규범	g y u b eo M
규약	g y u y a K
규율	g y u y u L
규정	g y u j eo NG
규제	g y u j e
규제책	g y u j e ch e K
규칙	g y u ch i K
규탄	g y u t a N
규합	g y u h a P
규현	g y u h y eo N
균	g y u N
균등	g y u N d eu NG
균류	g y u L r y u
균형	g y u N h y eo NG
귤	g y u L
그	g eu
그간	g eu g a N
그거	g eu g eo
그건	g eu g eo N
그걸	g eu g eo L
그걸로	g eu g eo L r o
그것	g eu g eo T
그게	g eu g e
그곳	g eu g o T
그나마	g eu n a m a
그날	g eu n a L
그냥	g eu n y a NG
그네	g eu n e
그녀	g eu n y eo
그늘	g eu n eu L
그니	g eu n i
그니까	g eu n i kk a
그다지	g eu d a j i
그대	g eu d e
그대로	g eu d e r o
그동안	g eu d o NG a N
그때	g eu tt e
그라	g eu r a
그라초프	g eu r a ch o p eu
그람	g eu r a M
그래	g eu r e
그래도	g eu r e d o
그래서	g eu r e s eo
그래야	g eu r e y a
그래요	g eu r e y o
그래프	g eu r e p eu
그래픽	g eu r e p i K
그랜드	g eu r e N d eu
그랜저	g eu r e N j eo
그램	g eu r e M
그랬	g eu r e T
그랬었	g eu r e ss eo T
그러	g eu r eo
그러나	g eu r eo n a
그러니까	g eu r eo n i kk a
그러다	g eu r eo d a
그러다가	g eu r eo d a g a
그러면	g eu r eo m y eo N
그러면은	g eu r eo m y eo n eu N
그러므로	g eu r eo m eu r o
그러하	g eu r eo h a
그런	g eu r eo N
그런가	g eu r eo N g a
그런대로	g eu r eo N d e r o
그런데	g eu r eo N d e
그런지	g eu r eo N j i
그럴	g eu r eo L
그럴까요	g eu r eo L kk a y o
그럴듯한	g eu r eo L d eu t a N
그럴만한	g eu r eo L m a N h a N
그럼	g eu r eo M
그럼에도	g eu r eo m e d o
그렇	g eu r eo h
그렇게	g eu r eo k e
그렇지만	g eu r eo ch i m a N
그레이	g eu r e i
그려	g eu r y eo
그려냈	g eu r y eo n e T
그려진	g eu r y eo j i N
그렸	g eu r y eo T
그렸었	g eu r y eo ss eo T
그로즈니	g eu r o j eu n i
그루	g eu r u
그루지야	g eu r u j i y a
그룹	g eu r u P
그름	g eu r eu M
그릇	g eu r eu T
그리	g eu r i
그리고	g eu r i g o
그리스	g eu r i s eu
그리스도교	g eu r i s eu d o g y o
그리스도인	g eu r i s eu d o i N
그리움	g eu r i u M
그리워	g eu r i w eo
그리하여	g eu r i h a y eo
그린	g eu r i N
그린벨트	g eu r i N b e L t eu
그릴	g eu r i L
그림	g eu r i M
그림자	g eu r i M j a
그립	g eu r i P
그만	g eu m a N
그만두	g eu m a N d u
그만둔	g eu m a N d u N
그만둬	g eu m a N d w eo
그만뒀	g eu m a N d w eo T
그만큼	g eu m a N k eu M
그만한	g eu m a N h a N
그물	g eu m u L
그분	g eu b u N
그야말로	g eu y a m a L r o
그으면서	g eu eu m y eo N s eo
그윽	g eu eu K
그저	g eu j eo
그제서야	g eu j e s eo y a
그제야	g eu j e y a
그죠	g eu j y o
그중	g eu j u NG
그쪽	g eu jj o K
그쯤	g eu jj eu M
그쳐	g eu ch y eo
그쳤	g eu ch y eo T
그쵸	g eu ch y o
그치	g eu ch i
그치만	g eu ch i m a N
그친	g eu ch i N
그칠	g eu ch i L
그토록	g eu t o r o K
그해	g eu h e
극	g eu K
극단	g eu K tt a N
극단주의	g eu K tt a N j u eu i
극대	g eu K tt e
극도	g eu K tt o
극동	g eu K tt o NG
극렬	g eu NG n y eo L
극명	g eu NG m y eo NG
극복	g eu K pp o K
극소수	g eu K ss o s u
극심	g eu K ss i M
극우	g eu g u
극우파	g eu g u p a
극장	g eu K jj a NG
극진히	g eu K jj i N h i
극한	g eu k a N
극히	g eu k i
근	g eu N
근간	g eu N g a N
근거	g eu N g eo
근거지	g eu N g eo j i
근검절약	g eu N g eo M j eo r y a K
근교	g eu N g y o
근대	g eu N d e
근데	g eu N d e
근로	g eu L r o
근로자	g eu L r o j a
근면	g eu N m y eo N
근면성	g eu N m y eo N s eo NG
근무	g eu N m u
근본	g eu N b o N
근본주의	g eu N b o N j u eu i
근사	g eu N s a
근성	g eu N s eo NG
근세	g eu N s e
근소	g eu N s o
근속	g eu N ss o K
근신	g eu N s i N
근엄	g eu n eo M
근원	g eu n w eo N
근육	g eu N n y u K
근절	g eu N j eo L
근접	g eu N j eo P
근조	g eu N j o
근처	g eu N ch eo
근황	g eu N h w a NG
글	g eu L
글귀	g eu L g w i
글라스	g eu L r a s eu
글라이더	g eu L r a i d eo
글로벌	g eu L r o b eo L
글루텐	g eu L r u t e N
글린	g eu L r i N
글쎄	g eu L ss e
글쎄요	g eu L ss e y o
글쓰기	g eu L ss eu g i
글씨	g eu L ss i
글자	g eu L j a
긁	g eu K
금	g eu M
금값	g eu M g a P
금강	g eu M g a NG
금강기획	g eu M g a NG g i h w e K
금고	g eu M g o
금괴	g eu M g w e
금권	g eu M g w eo N
금년	g eu M n y eo N
금리	g eu M n i
금메달	g eu M m e d a L
금명간	g eu M m y eo NG g a N
금문	g eu M m u N
금방	g eu M b a NG
금배지	g eu M b e j i
금사	g eu M s a
금세	g eu M s e
금속	g eu M s o K
금수	g eu M s u
금액	g eu m e K
금연	g eu M n y eo N
금요일	g eu m y o i L
금융	g eu M n y u NG
금융업	g eu M n y u NG eo P
금전	g eu M j eo N
금정면	g eu M j eo NG m y eo N
금주	g eu M j u
금지	g eu M j i
금지령	g eu M j i r y eo NG
금지법	g eu M j i b eo P
금치	g eu M ch i
금포	g eu M p o
금품	g eu M p u M
금하	g eu M h a
금할	g eu M h a L
금호	g eu M h o
급	g eu P
급감	g eu P kk a M
급격	g eu P kk y eo K
급격히	g eu P kk y eo k i
급급	g eu P kk eu P
급기야	g eu P kk i y a
